ID,LicenceArea,GridSupplyPoint,Substation,SiteFunctionalLocation,Proposed_Connection_Voltage_kV,Status of Connection,Demand_Numbers_Received_Total_Number,Demand_Numbers_Received_Total_Capacity,Generation_Numbers_Received_Total_Number,Generation_Numbers_Received_Total_Capacity,Spatial Coordinates
2,Eastern Power Networks (EPN),Amersham,Ilmer Grid 33kV,EPN-S0000000D8077,33,Connection offers made (not yet accepted by customer),,,1,25.9,"51.7517773136147, -0.88227449772753"
25,Eastern Power Networks (EPN),Braintree,Witham Primary 11kV,EPN-S0000000H3054,11,"Connection offers made (cancelled, expired, superseded)",1.0,2.0,,,"51.8090255565549, 0.641891288839091"
26,Eastern Power Networks (EPN),Braintree,Witham Primary 11kV,EPN-S0000000H3054,11,Connection offers made (not yet accepted by customer),5.0,9.8,,,"51.8090255565549, 0.641891288839091"
81,Eastern Power Networks (EPN),Bramford,Snetterton Primary 11kV,EPN-S0000000H1189,11,Connection offers made (not yet accepted by customer),1.0,2.2,,,"52.4721861472423, 0.95736970635812"
82,Eastern Power Networks (EPN),Bramford,Snetterton Primary 11kV,EPN-S0000000H1189,33,Budget Estimates Provided,1.0,9.0,,,"52.4721861472423, 0.95736970635812"
94,Eastern Power Networks (EPN),Bramford,Tivetshall Primary 11kV,EPN-S0000000H1033,33,Connection offers made (not yet accepted by customer),,,1,30,"52.4401378458545, 1.17358086562589"
111,Eastern Power Networks (EPN),Brimsdown,The Cross 11kV,EPN-S0000000H7080,11,Connection offers made (not yet accepted by customer),1.0,7.0,,,"51.6859357578055, -0.0252037357225468"
123,Eastern Power Networks (EPN),Burwell,Ely Primary 11kV,EPN-S0000000H4007,11,Connection offers made (not yet accepted by customer),4.0,7.4,,,"52.3978836770285, 0.255467859575925"
146,Eastern Power Networks (EPN),Burwell,Madingley Rd Primary 11kV,EPN-S0000000H4070,11,Budget Estimates Provided,2.0,2.3,,,"52.2131493455465, 0.0875781294213052"
147,Eastern Power Networks (EPN),Burwell,Milton Rd Primary 11kV,EPN-S0000000H4078,11,Budget Estimates Provided,1.0,2.0,1,6,"52.2296894150331, 0.146987205457097"
